job_id,job_title,salary_usd,experience_level,employment_type,company_location,company_size,remote_ratio,required_skills,education_required,years_experience,industry,posting_date
AI00001,AI Research Scientist,90376,SE,CT,China,M,50,"tableau, pytorch, kubernetes, linux, nlp",Bachelor,9,Automotive,2024-10-18
AI00002,AI Software Engineer,61895,EN,CT,Canada,M,100,"deep learning, aws, mathematics, python, docker",Master,1,Media,2024-11-20
AI00003,AI Specialist,152626,MI,FL,Switzerland,L,0,"kubernetes, deep learning, java, hadoop, nlp",Associate,2,Education,2025-03-18
AI00004,NLP Engineer,80215,SE,FL,India,M,50,"scala, sql, linux, python",PhD,7,Consulting,2024-12-23
AI00005,AI Consultant,54624,EN,PT,France,S,100,"mlops, java, tableau, python",Master,0,Media,2025-04-15
AI00006,AI Architect,123574,SE,CT,Germany,M,50,"data visualization, r, sql, linux",Associate,7,Healthcare,2024-08-31
AI00007,Principal Data Scientist,79670,MI,FL,United Kingdom,S,0,"r, docker, mlops",Associate,3,Gaming,2024-12-29
AI00008,NLP Engineer,70640,EN,FL,France,L,0,"python, sql, computer vision, java, azure",Master,0,Healthcare,2024-06-07
AI00009,Data Analyst,160710,SE,CT,Singapore,L,0,"hadoop, git, mathematics, python",PhD,7,Government,2024-11-04
AI00010,AI Software Engineer,102557,SE,PT,Austria,M,0,"mlops, gcp, scala, azure, linux",Master,5,Government,2024-10-20
AI00011,Autonomous Systems Engineer,102322,SE,PT,Sweden,M,100,"mlops, python, sql",Associate,8,Telecommunications,2025-01-29
AI00012,AI Architect,115047,EX,CT,South Korea,S,0,"r, data visualization, python, azure",Master,15,Manufacturing,2024-07-16
AI00013,AI Consultant,124355,SE,CT,France,M,100,"tableau, python, tensorflow",PhD,5,Automotive,2024-12-29
AI00014,Autonomous Systems Engineer,68760,EN,CT,Norway,S,0,"scala, sql, statistics",Master,0,Energy,2024-02-11
AI00015,AI Research Scientist,150122,SE,FT,Sweden,M,100,"pytorch, python, data visualization, gcp",Associate,6,Technology,2024-10-02
AI00016,AI Product Manager,78846,EN,PT,United Kingdom,L,0,"linux, statistics, deep learning",PhD,0,Consulting,2024-09-28
AI00017,Principal Data Scientist,59823,EN,FT,India,L,100,"tableau, nlp, spark",Bachelor,1,Real Estate,2025-02-06
AI00018,Machine Learning Engineer,181139,EX,CT,France,L,100,"mlops, pytorch, azure",Associate,15,Real Estate,2024-04-24
AI00019,Data Engineer,155300,SE,CT,Singapore,M,0,"git, hadoop, r, python, spark",Associate,9,Finance,2024-04-30
AI00020,Research Scientist,93851,MI,PT,Netherlands,L,100,"java, scala, nlp, docker, computer vision",PhD,4,Transportation,2024-05-01
AI00021,Data Engineer,134197,MI,FT,Norway,M,0,"deep learning, aws, azure",Bachelor,3,Telecommunications,2024-06-21
AI00022,Autonomous Systems Engineer,102550,MI,PT,United States,M,0,"tableau, spark, nlp, tensorflow, pytorch",Bachelor,2,Automotive,2024-04-23
AI00023,ML Ops Engineer,99382,SE,CT,Germany,S,0,"hadoop, git, tableau",PhD,7,Automotive,2025-03-13
AI00024,AI Product Manager,52167,MI,FT,Austria,M,100,"git, hadoop, docker",Master,4,Telecommunications,2024-06-07
AI00025,ML Ops Engineer,53923,MI,FT,China,S,0,"aws, azure, git, sql, computer vision",Bachelor,2,Healthcare,2024-10-27
AI00026,Robotics Engineer,109779,SE,PT,Israel,L,100,"linux, git, tableau, kubernetes, data visualization",PhD,6,Government,2024-08-01
AI00027,ML Ops Engineer,80979,MI,CT,Australia,S,50,"hadoop, linux, git, scala",Master,2,Media,2024-11-18
AI00028,Data Analyst,52997,MI,PT,Austria,M,0,"mathematics, kubernetes, tensorflow, tableau, pytorch",PhD,2,Government,2025-01-10
AI00029,Head of AI,42819,EN,CT,Ireland,M,50,"python, scala, nlp, mathematics, git",PhD,0,Healthcare,2024-10-08
AI00030,ML Ops Engineer,82083,MI,CT,Israel,L,100,"azure, python, computer vision, kubernetes, tensorflow",Master,2,Retail,2024-01-18
AI00031,Head of AI,67488,EN,FT,Netherlands,M,100,"deep learning, gcp, aws, linux, tableau",Master,1,Retail,2024-05-16
AI00032,Research Scientist,68624,EN,FT,Denmark,M,0,"azure, python, spark",Master,1,Real Estate,2024-01-31
AI00033,Robotics Engineer,146852,SE,FT,Switzerland,S,50,"nlp, scala, python",PhD,7,Real Estate,2024-08-28
AI00034,ML Ops Engineer,178183,EX,FL,Finland,M,0,"tableau, azure, gcp, linux, python",Associate,16,Education,2024-03-01
AI00035,Deep Learning Engineer,150864,SE,FL,Sweden,L,0,"r, gcp, mlops, linux",PhD,8,Consulting,2024-10-26
